Date,Store_ID,Store_Location,Product_ID,Product_Category,Product_Subcategory,Brand,Unit_Price,Units_Sold,Total_Sales,Discount_Percentage,Revenue,Customer_Type,Payment_Mode,Promotion_Applied,Stock_On_Hand,Store_Rating,Region,Holiday_Flag
2023-02-06,STR_108,Ahmedabad,PRD_181,Sports,Gym Equipment,Adidas,28657.39,33,945693.87,15,803839.7895,New,Debit Card,No,210,4.0,West,0
2023-05-08,STR_102,Bangalore,PRD_566,Electronics,Laptops,OnePlus,34831.89,40,1393275.6,5,1323611.82,New,Cash,No,176,4.3,South,0
2024-01-21,STR_102,Bangalore,PRD_811,Electronics,Mobiles,Samsung,35474.66,39,1383511.7400000002,20,1106809.3920000002,Returning,Credit Card,No,458,4.4,South,0
2024-05-20,STR_107,Kolkata,PRD_321,Electronics,Mobiles,Sony,3639.95,46,167437.69999999998,15,142322.04499999998,New,Debit Card,No,371,4.2,East,0
2023-02-20,STR_101,Mumbai,PRD_125,Groceries,Household,Nestle,41962.78,22,923181.1599999999,0,923181.1599999999,New,Cash,Yes,493,4.0,West,0
2023-09-21,STR_105,Pune,PRD_196,Home Appliances,Kitchen,LG,42116.95,32,1347742.4,15,1145581.0399999998,Returning,Credit Card,No,357,3.7,West,0
2024-01-05,STR_104,Chennai,PRD_657,Groceries,Snacks,Britannia,20001.16,19,380022.04,15,323018.734,New,Credit Card,Yes,166,3.6,South,0
2023-05-07,STR_101,Mumbai,PRD_058,Home Appliances,Kitchen,Philips,45769.17,47,2151150.9899999998,5,2043593.4404999996,Returning,Cash,No,286,3.9,West,0
2023-09-29,STR_105,Pune,PRD_247,Sports,Outdoor,Decathlon,2481.03,26,64506.780000000006,10,58056.102000000006,New,UPI,Yes,269,3.6,West,0
2023-04-04,STR_106,Hyderabad,PRD_912,Home Appliances,Kitchen,Whirlpool,4981.92,48,239132.16,20,191305.728,Returning,Debit Card,No,406,4.1,South,0
2024-06-05,STR_106,Hyderabad,PRD_223,Sports,Outdoor,Yonex,863.7,19,16410.3,5,15589.784999999998,Returning,Cash,No,53,4.4,South,0
2023-12-02,STR_107,Kolkata,PRD_896,Groceries,Beverages,Amul,31856.54,20,637130.8,15,541561.18,New,Credit Card,No,494,4.3,East,0
2024-07-30,STR_101,Mumbai,PRD_285,Groceries,Household,Amul,3561.13,31,110395.03,5,104875.2785,Returning,UPI,Yes,386,4.5,West,0
2024-08-27,STR_102,Bangalore,PRD_418,Groceries,Snacks,Nestle,13108.66,7,91760.62,15,77996.52699999999,Returning,Credit Card,No,462,3.6,South,0
2024-12-29,STR_105,Pune,PRD_394,Sports,Gym Equipment,Yonex,21231.2,24,509548.80000000005,10,458593.92000000004,New,UPI,No,145,4.0,West,0
2023-02-06,STR_104,Chennai,PRD_279,Electronics,Accessories,Samsung,37751.69,41,1547819.29,0,1547819.29,Returning,UPI,No,391,3.9,South,0
2023-01-19,STR_101,Mumbai,PRD_915,Home Appliances,Kitchen,Philips,4655.21,7,32586.47,15,27698.4995,Returning,Credit Card,No,416,3.6,West,0
2023-03-10,STR_103,Delhi,PRD_891,Home Appliances,Kitchen,Whirlpool,10715.12,23,246447.76,0,246447.76,Returning,Debit Card,Yes,472,5.0,North,0
2024-09-25,STR_105,Pune,PRD_235,Fashion,Footwear,Puma,35320.99,47,1660086.5299999998,15,1411073.5505,Returning,UPI,No,302,4.8,West,0
2023-06-23,STR_105,Pune,PRD_795,Groceries,Beverages,Nestle,35341.49,5,176707.44999999998,20,141365.96,Returning,UPI,Yes,414,4.1,West,0
2024-05-14,STR_101,Mumbai,PRD_804,Electronics,Mobiles,Sony,18875.35,31,585135.85,10,526622.265,Returning,UPI,No,251,4.9,West,0
2023-02-08,STR_106,Hyderabad,PRD_754,Fashion,Men Clothing,Puma,23486.17,20,469723.39999999997,15,399264.88999999996,Returning,Cash,Yes,50,4.5,South,0
2023-12-14,STR_106,Hyderabad,PRD_369,Electronics,Accessories,Sony,4236.28,33,139797.24,20,111837.792,Returning,Credit Card,No,222,3.6,South,0
2023-08-01,STR_103,Delhi,PRD_227,Home Appliances,Kitchen,Whirlpool,34801.02,18,626418.36,0,626418.36,Returning,UPI,No,422,4.5,North,0
2023-09-16,STR_108,Ahmedabad,PRD_330,Electronics,Accessories,Sony,47525.53,8,380204.24,15,323173.604,New,Cash,No,397,4.5,West,0
2024-10-09,STR_102,Bangalore,PRD_732,Home Appliances,Cleaning,Whirlpool,18081.22,36,650923.92,10,585831.528,New,Credit Card,Yes,261,4.4,South,0
2024-07-11,STR_103,Delhi,PRD_883,Sports,Outdoor,Adidas,36313.4,47,1706729.8,0,1706729.8,Returning,Credit Card,Yes,300,3.6,North,0
2023-04-29,STR_108,Ahmedabad,PRD_146,Electronics,Laptops,Samsung,49365.08,49,2418888.92,10,2177000.028,New,UPI,No,364,4.8,West,0
2024-04-05,STR_101,Mumbai,PRD_511,Groceries,Beverages,Britannia,13743.01,48,659664.48,15,560714.808,Returning,UPI,No,308,4.3,West,0
2024-07-18,STR_105,Pune,PRD_145,Groceries,Snacks,Britannia,12130.13,9,109171.17,0,109171.17,New,Debit Card,Yes,498,4.5,West,0
2023-02-03,STR_104,Chennai,PRD_438,Groceries,Snacks,Nestle,38638.69,12,463664.28,0,463664.28,New,Credit Card,No,300,4.1,South,0
2024-09-15,STR_107,Kolkata,PRD_578,Sports,Gym Equipment,Adidas,40271.73,39,1570597.4700000002,15,1335007.8495000002,Returning,Credit Card,No,335,4.3,East,0
2024-03-10,STR_107,Kolkata,PRD_481,Groceries,Beverages,Nestle,39204.29,30,1176128.7,5,1117322.265,Returning,Debit Card,No,187,4.9,East,0
2023-11-26,STR_101,Mumbai,PRD_774,Home Appliances,Kitchen,Prestige,24681.64,13,320861.32,10,288775.188,New,Debit Card,Yes,298,4.2,West,0
2024-01-09,STR_108,Ahmedabad,PRD_864,Home Appliances,Kitchen,LG,23750.69,29,688770.01,5,654331.5094999999,New,UPI,Yes,54,4.0,West,0
2024-11-12,STR_105,Pune,PRD_645,Sports,Outdoor,Decathlon,23092.86,26,600414.36,5,570393.642,Returning,UPI,No,122,3.6,West,0
2023-08-02,STR_107,Kolkata,PRD_573,Fashion,Footwear,H&M,229.49,36,8261.64,0,8261.64,New,Cash,No,256,4.3,East,0
2023-02-25,STR_106,Hyderabad,PRD_216,Groceries,Household,Nestle,36053.75,26,937397.5,10,843657.75,Returning,Cash,Yes,456,4.3,South,0
2024-05-22,STR_105,Pune,PRD_739,Groceries,Snacks,Nestle,19918.48,25,497962.0,20,398369.60000000003,New,Cash,Yes,280,3.6,West,0
2023-05-06,STR_104,Chennai,PRD_212,Electronics,Mobiles,Samsung,23751.1,10,237511.0,10,213759.9,New,UPI,No,160,4.6,South,0
2024-09-14,STR_108,Ahmedabad,PRD_425,Electronics,Accessories,Apple,16938.6,26,440403.6,5,418383.42,Returning,Debit Card,No,278,4.9,West,0
2024-03-12,STR_106,Hyderabad,PRD_503,Sports,Outdoor,Adidas,24441.71,30,733251.2999999999,10,659926.1699999999,New,Credit Card,Yes,360,4.8,South,0
2023-08-31,STR_107,Kolkata,PRD_322,Sports,Athletics,Adidas,28842.32,11,317265.52,15,269675.692,New,Debit Card,No,484,4.7,East,0
2023-07-13,STR_107,Kolkata,PRD_173,Fashion,Women Clothing,Levis,38497.7,6,230986.19999999998,5,219436.88999999998,New,Credit Card,No,69,3.9,East,0
2024-07-12,STR_101,Mumbai,PRD_550,Groceries,Snacks,Amul,29103.79,11,320141.69,15,272120.4365,New,UPI,No,227,4.2,West,0
2023-09-18,STR_107,Kolkata,PRD_168,Groceries,Snacks,Tata,40512.73,1,40512.73,20,32410.184000000005,Returning,UPI,No,457,4.4,East,0
2024-02-23,STR_106,Hyderabad,PRD_956,Electronics,Mobiles,Apple,48254.84,14,675567.76,20,540454.208,New,Cash,No,84,4.9,South,0
2023-11-16,STR_106,Hyderabad,PRD_779,Home Appliances,Kitchen,Whirlpool,39783.84,14,556973.76,15,473427.696,New,Credit Card,No,388,4.5,South,0
2023-05-12,STR_101,Mumbai,PRD_402,Sports,Outdoor,Decathlon,40848.31,39,1593084.0899999999,10,1433775.6809999999,Returning,UPI,No,192,4.4,West,0
2023-05-25,STR_101,Mumbai,PRD_616,Groceries,Snacks,Tata,11528.37,39,449606.43000000005,10,404645.78700000007,Returning,Credit Card,No,91,3.7,West,0
2023-01-15,STR_107,Kolkata,PRD_478,Sports,Gym Equipment,Yonex,44705.24,36,1609388.64,20,1287510.912,Returning,Credit Card,No,460,4.6,East,0
2023-09-11,STR_104,Chennai,PRD_635,Groceries,Snacks,Tata,37756.3,38,1434739.4000000001,20,1147791.5200000003,Returning,Debit Card,No,485,4.1,South,0
2023-06-06,STR_108,Ahmedabad,PRD_324,Sports,Gym Equipment,Reebok,36140.4,2,72280.8,10,65052.72,Returning,Debit Card,No,331,3.9,West,0
2023-03-10,STR_104,Chennai,PRD_872,Fashion,Women Clothing,Nike,29211.25,8,233690.0,5,222005.5,Returning,Credit Card,No,153,4.3,South,0
2024-09-14,STR_108,Ahmedabad,PRD_356,Home Appliances,Lighting,Whirlpool,45945.65,5,229728.25,20,183782.6,Returning,Cash,No,336,4.4,West,0
2023-02-20,STR_105,Pune,PRD_407,Electronics,Laptops,OnePlus,6228.26,37,230445.62,20,184356.496,New,Credit Card,No,362,4.0,West,0
2024-07-20,STR_103,Delhi,PRD_309,Sports,Athletics,Decathlon,16826.34,26,437484.84,0,437484.84,Returning,Debit Card,No,124,4.9,North,0
2023-07-29,STR_103,Delhi,PRD_640,Groceries,Household,Tata,11307.78,44,497542.32,10,447788.088,Returning,Debit Card,Yes,229,4.1,North,0
2023-06-10,STR_101,Mumbai,PRD_662,Sports,Athletics,Reebok,11082.85,21,232739.85,0,232739.85,Returning,Debit Card,No,197,4.1,West,0
2024-04-20,STR_107,Kolkata,PRD_769,Sports,Gym Equipment,Reebok,15565.85,30,466975.5,10,420277.95,New,Debit Card,No,207,3.8,East,0
2024-03-04,STR_105,Pune,PRD_590,Fashion,Women Clothing,Puma,35731.55,2,71463.1,15,60743.635,Returning,UPI,No,368,3.7,West,0
2023-09-21,STR_105,Pune,PRD_979,Fashion,Women Clothing,Nike,32235.58,33,1063774.1400000001,15,904208.0190000001,Returning,Cash,No,370,4.3,West,0
2024-03-18,STR_107,Kolkata,PRD_239,Sports,Outdoor,Decathlon,28515.23,33,941002.59,15,799852.2015,Returning,Debit Card,No,137,4.6,East,0
2023-04-30,STR_106,Hyderabad,PRD_469,Fashion,Men Clothing,Nike,20378.98,48,978191.04,5,929281.488,Returning,Debit Card,No,134,3.5,South,0
2024-01-16,STR_103,Delhi,PRD_082,Home Appliances,Kitchen,Whirlpool,44644.32,47,2098283.04,20,1678626.432,Returning,Cash,No,244,4.4,North,0
2024-01-31,STR_104,Chennai,PRD_256,Sports,Gym Equipment,Adidas,27647.15,34,940003.1000000001,20,752002.4800000001,Returning,Cash,Yes,413,3.7,South,0
2024-12-14,STR_106,Hyderabad,PRD_128,Fashion,Women Clothing,Levis,9187.15,17,156181.55,0,156181.55,Returning,Cash,No,250,3.7,South,0
2023-01-04,STR_102,Bangalore,PRD_610,Groceries,Beverages,Tata,13688.14,11,150569.53999999998,5,143041.06299999997,Returning,Cash,Yes,471,3.6,South,0
2024-11-07,STR_101,Mumbai,PRD_874,Groceries,Household,Tata,7086.93,27,191347.11000000002,0,191347.11000000002,Returning,Debit Card,No,317,4.4,West,0
2024-11-15,STR_101,Mumbai,PRD_702,Groceries,Beverages,Amul,25993.99,2,51987.98,15,44189.783,New,Credit Card,No,341,4.7,West,0
2023-10-23,STR_103,Delhi,PRD_807,Home Appliances,Kitchen,LG,30559.19,34,1039012.46,20,831209.968,New,Cash,Yes,197,3.7,North,0
2024-05-21,STR_105,Pune,PRD_154,Fashion,Women Clothing,Puma,23764.44,9,213879.96,0,213879.96,Returning,Cash,No,476,4.4,West,0
2023-01-25,STR_107,Kolkata,PRD_229,Fashion,Footwear,Nike,216.74,30,6502.200000000001,5,6177.09,New,Cash,No,354,3.7,East,0
2023-11-26,STR_101,Mumbai,PRD_318,Electronics,Accessories,Sony,47912.72,19,910341.68,20,728273.344,Returning,UPI,No,247,5.0,West,0
2023-09-25,STR_107,Kolkata,PRD_877,Fashion,Women Clothing,Puma,33528.88,32,1072924.16,5,1019277.9519999998,New,Cash,No,135,4.9,East,0
2023-12-01,STR_105,Pune,PRD_840,Electronics,Accessories,Sony,48555.81,23,1116783.63,20,893426.904,New,Credit Card,No,451,4.3,West,0
2024-06-09,STR_107,Kolkata,PRD_131,Fashion,Men Clothing,Nike,34844.81,40,1393792.4,5,1324102.7799999998,Returning,Debit Card,No,425,4.3,East,0
2023-12-15,STR_106,Hyderabad,PRD_161,Electronics,Mobiles,Apple,44310.29,42,1861032.18,15,1581877.353,Returning,Credit Card,No,83,3.5,South,0
2023-05-21,STR_102,Bangalore,PRD_814,Fashion,Footwear,Levis,17600.52,49,862425.48,20,689940.3840000001,Returning,Credit Card,No,489,3.9,South,0
2024-01-12,STR_102,Bangalore,PRD_340,Electronics,Accessories,OnePlus,36905.36,30,1107160.8,0,1107160.8,New,Debit Card,No,373,4.6,South,0
2023-10-20,STR_101,Mumbai,PRD_975,Electronics,Mobiles,Apple,21445.88,49,1050848.12,0,1050848.12,Returning,Cash,Yes,342,4.7,West,0
2024-12-10,STR_107,Kolkata,PRD_226,Fashion,Women Clothing,Puma,8434.99,4,33739.96,10,30365.964,Returning,Cash,No,422,4.7,East,0
2023-04-17,STR_102,Bangalore,PRD_753,Electronics,Laptops,Samsung,47867.79,6,287206.74,20,229765.392,New,UPI,No,58,4.9,South,0
2024-07-26,STR_103,Delhi,PRD_850,Groceries,Household,Nestle,34831.43,24,835954.3200000001,10,752358.888,Returning,Cash,No,430,4.3,North,0
2023-11-25,STR_104,Chennai,PRD_617,Sports,Outdoor,Reebok,19619.37,28,549342.36,20,439473.88800000004,Returning,UPI,Yes,219,4.7,South,0
2023-09-18,STR_103,Delhi,PRD_124,Fashion,Women Clothing,H&M,18697.16,8,149577.28,10,134619.552,Returning,UPI,Yes,86,3.8,North,0
2024-08-15,STR_102,Bangalore,PRD_115,Sports,Outdoor,Decathlon,41251.58,40,1650063.2000000002,5,1567560.04,New,Cash,No,311,4.3,South,0
2023-12-02,STR_108,Ahmedabad,PRD_571,Home Appliances,Kitchen,LG,8103.97,13,105351.61,10,94816.44900000001,Returning,UPI,No,240,4.5,West,0
2023-05-13,STR_103,Delhi,PRD_031,Sports,Outdoor,Decathlon,41308.26,10,413082.60000000003,10,371774.34,New,UPI,No,405,4.3,North,0
2024-08-11,STR_105,Pune,PRD_224,Home Appliances,Lighting,Prestige,4296.5,27,116005.5,0,116005.5,New,UPI,No,237,3.5,West,0
2023-12-31,STR_103,Delhi,PRD_586,Fashion,Women Clothing,Levis,21668.82,34,736739.88,15,626228.898,Returning,Cash,Yes,327,4.9,North,0
2023-08-30,STR_104,Chennai,PRD_918,Fashion,Men Clothing,H&M,35457.74,1,35457.74,5,33684.852999999996,Returning,Cash,Yes,241,4.5,South,0
2024-12-16,STR_104,Chennai,PRD_381,Fashion,Footwear,H&M,19242.25,29,558025.25,10,502222.72500000003,Returning,UPI,No,484,3.9,South,1
2024-04-26,STR_106,Hyderabad,PRD_977,Groceries,Beverages,Amul,5199.46,41,213177.86000000002,20,170542.28800000003,Returning,UPI,Yes,224,4.5,South,0
2023-01-22,STR_103,Delhi,PRD_382,Fashion,Footwear,Puma,7637.79,28,213858.12,20,171086.496,Returning,UPI,No,133,4.1,North,0
2024-03-28,STR_103,Delhi,PRD_892,Fashion,Men Clothing,Nike,36248.69,34,1232455.46,20,985964.368,Returning,Debit Card,Yes,61,4.3,North,0
2024-05-06,STR_108,Ahmedabad,PRD_657,Fashion,Women Clothing,Puma,4649.11,8,37192.88,10,33473.592,New,Credit Card,No,398,3.7,West,0
2024-11-23,STR_108,Ahmedabad,PRD_916,Home Appliances,Cleaning,LG,39847.21,25,996180.25,0,996180.25,Returning,Credit Card,No,215,3.8,West,0
2024-12-26,STR_106,Hyderabad,PRD_344,Sports,Gym Equipment,Adidas,21719.01,13,282347.13,0,282347.13,Returning,Cash,No,387,4.2,South,0
2024-06-27,STR_103,Delhi,PRD_102,Sports,Gym Equipment,Decathlon,45400.15,11,499401.65,10,449461.48500000004,New,Cash,Yes,95,3.7,North,0
2024-08-14,STR_106,Hyderabad,PRD_936,Home Appliances,Kitchen,Prestige,587.57,33,19389.81,5,18420.3195,New,UPI,Yes,466,4.7,South,0
2024-10-27,STR_106,Hyderabad,PRD_090,Groceries,Snacks,Britannia,34504.3,15,517564.50000000006,5,491686.275,New,Credit Card,Yes,366,4.6,South,1
2023-03-14,STR_107,Kolkata,PRD_264,Electronics,Laptops,Sony,47372.79,28,1326438.12,15,1127472.402,Returning,Credit Card,No,133,4.3,East,0
2024-01-25,STR_102,Bangalore,PRD_127,Groceries,Household,Britannia,26367.49,42,1107434.58,10,996691.1220000001,New,Credit Card,Yes,446,4.2,South,0
2023-08-31,STR_102,Bangalore,PRD_356,Fashion,Footwear,Nike,37239.53,29,1079946.3699999999,20,863957.0959999999,New,Debit Card,Yes,451,4.5,South,0
2024-07-02,STR_108,Ahmedabad,PRD_924,Electronics,Accessories,OnePlus,10057.17,35,352000.95,20,281600.76,New,UPI,No,440,4.2,West,0
2024-12-25,STR_107,Kolkata,PRD_404,Groceries,Beverages,Amul,31475.36,28,881310.0800000001,15,749113.5680000001,New,Credit Card,No,226,4.3,East,0
2023-09-07,STR_105,Pune,PRD_418,Groceries,Snacks,Britannia,39668.51,39,1547071.8900000001,5,1469718.2955,Returning,Debit Card,No,317,4.1,West,0
2024-06-13,STR_108,Ahmedabad,PRD_867,Sports,Athletics,Decathlon,38822.41,36,1397606.7600000002,5,1327726.4220000003,Returning,Cash,No,342,4.8,West,0
2024-07-06,STR_106,Hyderabad,PRD_014,Home Appliances,Kitchen,LG,25789.39,25,644734.75,15,548024.5375,Returning,Credit Card,Yes,394,5.0,South,0
2023-03-07,STR_103,Delhi,PRD_449,Sports,Gym Equipment,Reebok,38696.31,36,1393067.16,20,1114453.728,New,Debit Card,No,244,4.2,North,0
2024-08-14,STR_102,Bangalore,PRD_862,Sports,Outdoor,Yonex,7373.25,5,36866.25,15,31336.3125,Returning,Cash,No,113,4.0,South,0
2023-10-11,STR_101,Mumbai,PRD_997,Fashion,Men Clothing,Levis,26722.25,49,1309390.25,0,1309390.25,Returning,Cash,No,256,4.3,West,0
2023-11-30,STR_102,Bangalore,PRD_020,Electronics,Accessories,Samsung,2679.67,1,2679.67,10,2411.703,New,Credit Card,Yes,210,4.3,South,1
2024-05-04,STR_104,Chennai,PRD_251,Sports,Outdoor,Yonex,346.51,34,11781.34,0,11781.34,Returning,Credit Card,No,233,4.3,South,0
2023-06-27,STR_107,Kolkata,PRD_151,Home Appliances,Cleaning,Whirlpool,1595.68,45,71805.6,15,61034.76,Returning,Cash,No,57,5.0,East,0
2023-05-09,STR_107,Kolkata,PRD_495,Sports,Outdoor,Decathlon,8939.77,34,303952.18,0,303952.18,New,Debit Card,No,463,4.2,East,0
2023-05-25,STR_102,Bangalore,PRD_345,Electronics,Accessories,Sony,34507.38,33,1138743.5399999998,0,1138743.5399999998,Returning,Debit Card,No,353,4.5,South,0
2024-08-24,STR_106,Hyderabad,PRD_704,Home Appliances,Cleaning,Prestige,2505.78,9,22552.02,0,22552.02,Returning,UPI,No,294,4.4,South,0
2024-05-03,STR_103,Delhi,PRD_102,Home Appliances,Cleaning,Philips,16418.95,38,623920.1,10,561528.09,Returning,Credit Card,No,328,4.2,North,0
2023-11-27,STR_101,Mumbai,PRD_065,Electronics,Mobiles,OnePlus,18386.43,7,128705.01000000001,20,102964.00800000002,Returning,Debit Card,No,354,4.3,West,0
2023-04-12,STR_102,Bangalore,PRD_622,Fashion,Footwear,H&M,32164.54,2,64329.08,0,64329.08,Returning,Debit Card,No,499,4.2,South,0
2024-09-20,STR_105,Pune,PRD_133,Groceries,Beverages,Amul,20001.26,37,740046.62,15,629039.627,Returning,Cash,No,375,4.6,West,0
2023-12-30,STR_103,Delhi,PRD_407,Fashion,Men Clothing,Puma,21600.02,16,345600.32,20,276480.256,Returning,Cash,No,100,3.6,North,0
2024-04-14,STR_103,Delhi,PRD_964,Groceries,Snacks,Tata,12913.15,46,594004.9,10,534604.41,Returning,UPI,No,193,3.6,North,0
2024-10-31,STR_102,Bangalore,PRD_644,Groceries,Beverages,Tata,41176.38,30,1235291.4,10,1111762.26,New,Debit Card,No,446,3.8,South,0
2023-08-29,STR_102,Bangalore,PRD_036,Sports,Outdoor,Yonex,21283.92,7,148987.44,0,148987.44,Returning,Cash,Yes,428,3.5,South,0
2023-04-28,STR_105,Pune,PRD_521,Home Appliances,Kitchen,Prestige,32365.64,24,776775.36,5,737936.592,Returning,UPI,No,257,4.3,West,0
2023-10-20,STR_104,Chennai,PRD_060,Groceries,Household,Amul,33604.09,25,840102.2499999999,5,798097.1374999998,Returning,Debit Card,No,291,3.7,South,0
2023-04-18,STR_102,Bangalore,PRD_977,Electronics,Accessories,Samsung,9004.45,37,333164.65,10,299848.18500000006,Returning,Cash,Yes,127,4.4,South,0
2024-03-16,STR_106,Hyderabad,PRD_803,Electronics,Laptops,Sony,29892.64,18,538067.52,10,484260.76800000004,Returning,Credit Card,No,290,3.5,South,0
2023-10-07,STR_104,Chennai,PRD_554,Fashion,Women Clothing,Nike,45285.69,45,2037856.05,15,1732177.6425,Returning,Cash,No,122,4.0,South,0
2024-02-29,STR_107,Kolkata,PRD_828,Home Appliances,Kitchen,Philips,3473.87,5,17369.35,15,14763.947499999998,New,Debit Card,No,249,4.5,East,0
2024-01-16,STR_102,Bangalore,PRD_130,Fashion,Women Clothing,Nike,49707.55,2,99415.1,0,99415.1,Returning,Debit Card,No,313,4.4,South,0
2024-03-17,STR_104,Chennai,PRD_287,Sports,Gym Equipment,Decathlon,37766.41,16,604262.56,5,574049.432,Returning,Credit Card,No,61,4.0,South,0
2024-10-09,STR_104,Chennai,PRD_279,Fashion,Women Clothing,Puma,20025.86,40,801034.4,20,640827.52,Returning,Cash,No,170,4.5,South,0
2024-02-10,STR_102,Bangalore,PRD_460,Electronics,Mobiles,Sony,39123.2,34,1330188.7999999998,20,1064151.0399999998,New,Credit Card,Yes,286,4.0,South,0
2023-12-07,STR_102,Bangalore,PRD_449,Fashion,Men Clothing,Puma,15345.66,23,352950.18,5,335302.671,New,Cash,No,455,4.2,South,0
2023-04-11,STR_104,Chennai,PRD_042,Groceries,Household,Tata,27032.66,45,1216469.7,10,1094822.73,Returning,Credit Card,No,183,3.7,South,0
2023-01-07,STR_104,Chennai,PRD_675,Electronics,Accessories,Samsung,8758.87,2,17517.74,10,15765.966000000002,Returning,Credit Card,No,315,4.7,South,0
2023-09-10,STR_106,Hyderabad,PRD_833,Electronics,Accessories,Apple,30352.02,46,1396192.92,20,1116954.336,New,Cash,No,74,4.5,South,0
2024-04-26,STR_108,Ahmedabad,PRD_537,Sports,Outdoor,Yonex,11704.31,45,526693.95,15,447689.8574999999,Returning,Cash,No,190,4.9,West,0
2024-06-15,STR_102,Bangalore,PRD_672,Sports,Athletics,Adidas,10880.31,2,21760.62,15,18496.527,New,Debit Card,Yes,467,4.2,South,0
2024-10-03,STR_106,Hyderabad,PRD_927,Fashion,Women Clothing,Puma,34782.26,9,313040.34,10,281736.30600000004,New,UPI,Yes,239,3.9,South,0
2024-02-04,STR_104,Chennai,PRD_785,Electronics,Accessories,Sony,11709.01,29,339561.29,15,288627.0965,Returning,Cash,No,112,4.7,South,0
